Iteration,Scenario,Left_Out_Year,Train_Rows,Test_Rows,RMSE,NRMSE_Percent,Status,Error
43,Warm_Full,2023,3305,1755,1076.6309755127547,13.437059576754773,Completed,
17,Warm_Full,2023,3305,1755,1051.3386780868943,13.121395142910645,Completed,
42,Warm_Full,2023,3305,1755,1072.7393503727144,13.388489546682758,Completed,
15,Warm_Full,2023,3305,1755,1067.5062488068686,13.323177012387532,Completed,
45,Warm_Full,2023,3305,1755,1072.1709369754324,13.381395375274707,Completed,
28,Warm_Full,2023,3305,1755,1098.1809123748478,13.7060169001806,Completed,
46,Warm_Full,2023,3305,1755,1059.4520114800068,13.222654856451213,Completed,
26,Warm_Full,2023,3305,1755,1045.5069121280242,13.048610884971465,Completed,
47,Warm_Full,2023,3305,1755,1080.2650036334212,13.482414627344639,Completed,
50,Warm_Full,2023,3305,1755,1054.597708975108,13.162069982482812,Completed,
27,Warm_Full,2023,3305,1755,1065.8350912295336,13.302319871510548,Completed,
51,Warm_Full,2023,3305,1755,1060.018155148379,13.2297207001562,Completed,
48,Warm_Full,2023,3305,1755,1068.4966075862437,13.335537338463501,Completed,
52,Warm_Full,2023,3305,1755,1057.665396569676,13.200356732454363,Completed,
53,Warm_Full,2023,3305,1755,1080.907403425532,13.49043219740812,Completed,
34,Warm_Full,2023,3305,1755,1066.4345331785,13.30980129956182,Completed,
57,Warm_Full,2023,3305,1755,1072.6706414507696,13.387632014344728,Completed,
55,Warm_Full,2023,3305,1755,1080.9343164635095,13.490768089745348,Completed,
59,Warm_Full,2023,3305,1755,1070.218688034411,13.35703003011392,Completed,
41,Warm_Full,2023,3305,1755,1095.0253773093457,13.666633756247283,Completed,
63,Warm_Full,2023,3305,1755,1093.200811968335,13.643861986024744,Completed,
61,Warm_Full,2023,3305,1755,1039.8061343921036,12.977461445828755,Completed,
65,Warm_Full,2023,3305,1755,1069.5081425233684,13.348161956854812,Completed,
71,Warm_Full,2023,3305,1755,1094.2874330869788,13.657423729129544,Completed,
